date,exch,cc_code,underly_code,type_code,prod_name,fut_date,opt_date,opt_strike,valuation_meth,max_array_value,contr_value_fact,sett_p,sett_meth,time_to_expr,margin_rate,base_volat,volat_scan_range,price_model
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,43.5,EQTY ,250,1000,0.25,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,44,EQTY ,1840,1000,2.03,CASH ,0.016438,0.9064039,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,44,EQTY ,320,1000,0.32,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,44.5,EQTY ,1450,1000,1.64,CASH ,0.016438,0.8841463,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,44.5,EQTY ,430,1000,0.43,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,45,EQTY ,1090,1000,1.28,CASH ,0.016438,0.8515625,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,45,EQTY ,570,1000,0.57,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,45.5,EQTY ,770,1000,0.96,CASH ,0.016438,0.8020833,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,45.5,EQTY ,750,1000,0.75,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,46,EQTY ,690,1000,0.69,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,46,EQTY ,980,1000,0.98,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,46.5,EQTY ,490,1000,0.49,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,46.5,EQTY ,1280,1000,1.28,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,47,EQTY ,340,1000,0.34,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,47,EQTY ,1630,1000,1.63,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,47.5,EQTY ,240,1000,0.24,CASH ,0.016438,1,0.323058,42,B
